weight,word,color,url
107,hamlet,#FF0000,
95,hor,#FF0000,
81,oh,#FF0000,
71,know,#FF0000,
71,well,#FF0000,
70,father,#FF0000,
69,ti,#FF0000,
68,selfe,#FF0000,
66,loue,#FF0000,
65,may,#FF0000,
65,sir,#FF0000,
61,go,#FF0000,
137,macb,#0000FF,
66,macbeth,#0000FF,
62,vpon,#0000FF,
61,thee,#0000FF,
58,macd,#0000FF,
57,yet,#0000FF,
52,hath,#0000FF,
50,time,#0000FF,
49,rosse,#0000FF,
48,lady,#0000FF,
43,night,#0000FF,
42,st,#0000FF,
216,lord,#800080,
180,king,#800080,
178,haue,#800080,
127,come,#800080,
107,let,#800080,
107,shall,#800080,
107,thou,#800080,
98,good,#800080,
90,thy,#800080,
85,enter,#800080,
83,like,#800080,
73,would,#800080,
70,make,#800080,
